sentence_index|sentence|phrase ids|sentiment values
3|Effective but too-tepid biopic|13995.0|0.51389
4|If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .|14123.0|0.73611
6|The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .|14498.0|0.59722
8|Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .|14371.0|0.69444
11|Take Care of My Cat offers a refreshingly different slice of Asian cinema .|14475.0|0.76389
12|This is a film well worth seeing , talking and singing heads and all .|14534.0|0.9027799999999999
14|-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .|13697.0|0.65278
15|One of the greatest family-oriented , fantasy-adventure movies ever .|14357.0|0.93056
19|A masterpiece four years in the making .|13784.0|0.9722200000000001
21|Offers a breath of the fresh air of true sophistication .|14350.0|0.88889
28|An idealistic love story that brings out the latent 15-year-old romantic in everyone .|13850.0|0.68056
31|It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .|14172.0|0.76389
40|Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .|14548.0|0.65278
44|The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .|226498.0|0.11110999999999999
48|Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .|14207.0|0.58333
49|Gosling provides an amazing performance that dwarfs everything else in the film .|14065.0|0.98611
72|Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .|225402.0|0.72222
83|If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next .|14119.0|0.90625
84|Haneke challenges us to confront the reality of sexual aberration .|14075.0|0.61111
86|It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured .|14165.0|1.0
99|Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .|14238.0|0.73611
107|Chicago is sophisticated , brash , sardonic , completely joyful in its execution .|13943.0|0.9027799999999999
108|Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume .|14457.0|0.66667
121|Hip-hop has a history , and it 's a metaphor for this love story .|14082.0|0.59722
122|In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level .|14138.0|0.86111
124|Between the drama of Cube ?|222612.0|0.5
125|s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .|235423.0|0.8333299999999999
132|Good fun , good action , good acting , good dialogue , good pace , good cinematography .|223512.0|0.9027799999999999
133|You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .|227271.0|0.44443999999999995
139|A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .|13759.0|0.8333299999999999
144|Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone .|14276.0|0.77778
145|-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .|13696.0|0.77778
146|It 's a great deal of sizzle and very little steak .|14156.0|0.25
147|But what spectacular sizzle it is !|222837.0|0.86111
155|It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times .|14173.0|0.81944
160|Far from perfect , but its heart is in the right place ... innocent and well-meaning .|14029.0|0.69444
161|A sad , superior human comedy played out on the back roads of life .|13797.0|0.72222
168|Must be seen to be believed .|14314.0|0.70833
173|Its mysteries are transparently obvious , and it 's too slowly paced to be a thriller .|224414.0|0.23611
175|The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .|226280.0|0.77778
176|Stephen Earnhart 's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens .|14453.0|0.77778
182|Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .|14398.0|0.55556
185|Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness .|14297.0|0.72222
204|Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .|13946.0|0.80556
205|A fascinating and fun film .|13769.0|0.86111
210|... there are enough moments of heartbreaking honesty to keep one glued to the screen .|13720.0|0.9027799999999999
223|With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .|14635.0|0.88889
235|Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .|19100.0|0.68056
249|An absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood .|18651.0|0.76389
250|I admired it , particularly that unexpected downer of an ending .|18948.0|0.70833
254|The kooky yet shadowy vision Clooney sustains throughout is daring , inventive and impressive .|19313.0|0.88889
255|A triumph of art direction over narrative , but what art direction !|18601.0|0.9027799999999999
260|Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .|19098.0|0.8472200000000001
275|The director , Steven Shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .|19303.0|0.81944
281|The Transporter is as lively and as fun as it is unapologetically dumb|19293.0|0.69444
285|By presenting an impossible romance in an impossible world , Pumpkin dares us to say why either is impossible -- which forces us to confront what 's possible and what we might do to make it so .|18764.0|0.76389
295|Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis .|19389.0|0.51389
296|If you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then Mostly Martha offers all the perfect ingredients to more than satisfy your appetite .|18963.0|0.93056
316|Now , if it only had a brain .|225235.0|0.25
320|This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences .|19359.0|0.9027799999999999
323|Even with all those rough edges safely sanded down , the American Insomnia is still pretty darned good .|18858.0|0.80556
329|Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy .|18706.0|0.55556
