sentence_index|sentence|phrase ids|sentiment values
8831|Every so often a movie comes along that confirms one 's worse fears about civilization as we know it .|145205.0|0.47222
9898|There 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but Kang tacks on three or four more endings .|188801.0|0.40278
1236|Turns potentially forgettable formula into something strangely diverting .|27089.0|0.75
1048|The cast is uniformly excellent and relaxed .|26773.0|0.94444
5560|Wonder of wonders -- a teen movie with a humanistic message .|111235.0|0.72222
3771|Kids five and up will be delighted with the fast , funny , and even touching story .|224532.0|0.94444
95|A sports movie with action that 's exciting on the field and a story you care about off it .|13809.0|0.86111
5951|This is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness .|110511.0|0.055555999999999994
11442|How about surprising us by trying something new ?|223697.0|0.15278
5837|So genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen .|225832.0|0.66667
1622|Smart , provocative and blisteringly funny .|46749.0|0.77778
8100|Little more than a frothy vanity project .|147216.0|0.23611
2511|You emerge dazed , confused as to whether you 've seen pornography or documentary .|71143.0|0.29167
2815|Ah , what the hell .|222215.0|0.52778
3342|Not since Ghostbusters has a film used Manhattan 's architecture in such a gloriously goofy way .|67911.0|0.80556
11579|I did n't laugh .|184645.0|0.34722
7684|If this disposable tissue has one wild card , it 's John Turturro , who 's simply fab as a Spanish butler with a foot fetish .|146206.0|0.58333
978|Culkin , who 's in virtually every scene , shines as a young man who uses sarcastic lies like a shield .|25048.0|0.73611
5516|One of the funnier movies in town .|108164.0|0.88889
7573|`` The Time Machine '' is a movie that has no interest in itself .|227632.0|0.19444
8966|Friday After Next has the same problem that Next Friday did -- it 's called Where 's Chris Tucker When You Need Him ?|145503.0|0.31944
2675|A time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .|63518.0|0.88889
6330|A rather tired exercise in nostalgia .|103829.0|0.23611
10051|Smaller numbered kidlets will enjoy .|187365.0|0.73611
9867|There 's a heavy stench of ` been there , done that ' hanging over the film .|188790.0|0.20833000000000002
4440|Light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in Birthday Girl -- it 's simply , and surprisingly , a nice , light treat .|67221.0|0.94444
3945|Unlike lots of Hollywood fluff , this has layered , well-developed characters and some surprises .|70573.0|0.77778
5599|Maggie Smith as the Ya-Ya member with the O2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment .|107591.0|0.8333299999999999
10638|A bad movie that happened to good actors .|181521.0|0.18056
8661|Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .|150520.0|0.375
1342|A cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .|43996.0|0.69444
3852|One of the best movies of the year .|68000.0|0.8472200000000001
10628|This is a picture that Maik , the firebrand turned savvy ad man , would be envious of : it hijacks the heat of revolution and turns it into a sales tool .|188990.0|0.40278
449|The whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like Bellini and Mullinski , that the compact 86 minutes breezes by .|19347.0|0.77778
8151|Not even the Hanson Brothers can save it|147783.0|0.11110999999999999
8183|Where last time jokes flowed out of Cho 's life story , which provided an engrossing dramatic through line , here the comedian hides behind obviously constructed routines .|150900.0|0.33333
7109|One problem with the movie , directed by Joel Schumacher , is that it jams too many prefabricated story elements into the running time .|147929.0|0.30556
7649|Intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .|146348.0|0.72222
6539|... its stupidities wind up sticking in one 's mind a lot more than the cool bits .|103229.0|0.51389
8687|This one does .|150282.0|0.5
9744|Can be classified as one of those ` alternate reality ' movies ... except that it would have worked so much better dealing in only one reality .|183002.0|0.23611
6821|I 'm not exactly sure what this movie thinks it is about .|145949.0|0.34722
10509|For every articulate player , such as skateboarder Tony Hawk or BMX rider Mat Hoffman , are about a half dozen young Turks angling to see how many times they can work the words `` radical '' or `` suck '' into a sentence .|223393.0|0.27778
8457|As written by Michael Berg and Michael J. Wilson from a story by Wilson , this relentless , all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all .|222479.0|0.16667
11617|... Watching it was painful .|221774.0|0.31944
914|The visuals alone make Metropolis worth seeing .|26923.0|0.68056
37|Though everything might be literate and smart , it never took off and always seemed static .|14546.0|0.33333
8787|The low-budget Full Frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and Solaris is its big-budget brother .|149535.0|0.33333
4632|One of the most original American productions this year , you 'll find yourself remembering this refreshing visit to a Sunshine State .|108173.0|0.94444
10787|Such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .|187619.0|0.25
1887|A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .|44055.0|0.59722
8192|This ill-fitting Tuxedo is strictly off-the-rack .|150208.0|0.41667
3963|Succeeds as a well-made evocation of a subculture .|69034.0|0.77778
4715|Jones has delivered a solidly entertaining and moving family drama .|107221.0|0.9027799999999999
10010|Unfortunately , One Hour Photo lives down to its title .|189342.0|0.16667
212|She must have a very strong back .|14425.0|0.625
6561|The makers of Mothman Prophecies succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad .|109948.0|0.34722
8604|Sadly , Hewitt 's forte is leaning forward while wearing low-cut gowns , not making snappy comebacks .|148372.0|0.375
7300|Barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material .|144039.0|0.27778
2090|Weaver and LaPaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk .|226995.0|0.88889
5797|There 's no doubting that this is a highly ambitious and personal project for Egoyan , but it 's also one that , next to his best work , feels clumsy and convoluted .|110310.0|0.51389
